new_complaint_id,new_complaint_category,new_customer_id,new_customer_name,new_customer_country,new_communication_channel,new_complaint_description,new_complaint_product_type,new_complaint_priority,new_department_assigend,new_complaint_date,new_complaint_status,complaints_description_length,cleaned_complaints
163,product_quality,1163,Customer_163,Nigeria,Mobile App,The Blush does not perform as advertised.,Blush,4,Quality Control Department,2025-10-20,awaiting,41,blush perform advertised
164,delivery,1164,Customer_164,Nigeria,Website,My Primer order arrived much later than expected.,Primer,1,Delivery Department,2026-01-01,in_progress,49,primer order arrived much later expected
165,product_quality,1165,Customer_165,Egypt,Phone Call,the foundation does not perform as advertised.,Foundation,5,Quality Control Department,2025-07-06,resolved,46,foundation perform advertised
166,customer_service,1166,Customer_166,Algeria,Website,I contacted support about my Body Lotion and never received a helpful response.,Body Lotion,3,Customer Support,2025-02-03,resolved,79,contacted support body lotion never received helpful response
167,packaging,1167,Customer_167,Egypt,Phone Call,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,5,Packaging Department,2025-06-20,in_progress,62,kohl arrived damaged packaging disappointed
168,product_quality,1168,Customer_168,Tunisia,Mobile App,The Foundation does not perform as advertised.,Foundation,4,Quality Control Department,2025-03-08,awaiting,46,foundation perform advertised
169,refund,1169,Customer_169,Algeria,Phone Call,I requested a refund for my Lipstick but have not received it.,Lipstick,4,Customer Support,2025-12-10,awaiting,62,requested refund lipstick received
170,customer_service,1170,Customer_170,Egypt,Website,I contacted support about my Kohl and never received a helpful response.,Kohl,4,Customer Support,2025-01-10,resolved,72,contacted support kohl never received helpful response
171,delivery,1171,Customer_171,Ghana,Phone Call,My Sunscreen order arrived much later than expected.,Sunscreen,2,Delivery Department,2025-02-09,resolved,52,sunscreen order arrived much later expected
172,customer_service,1172,Customer_172,Egypt,Email,I contacted support about my Lipstick and never received a helpful response.,Lipstick,4,Customer Support,2025-12-05,resolved,76,contacted support lipstick never received helpful response
173,customer_service,1173,Customer_173,Algeria,Phone Call,i contacted support about my primer and never received a helpful response.,Primer,2,Customer Support,2025-08-13,in_progress,74,contacted support primer never received helpful response
174,product_quality,1174,Customer_174,Algeria,Mobile App,The Kohl does not perform as advertised.,Kohl,4,Quality Control Department,2025-04-30,awaiting,40,kohl perform advertised
175,delivery,1175,Customer_175,Egypt,Mobile App,My Blush order arrived much later than expected.,Blush,4,Delivery Department,2025-08-25,resolved,48,blush order arrived much later expected
176,billing,1176,Customer_176,Algeria,Phone Call,I was charged twice for my Concealer purchase.,Concealer,4,Finance Department,2025-05-09,in_progress,46,charged twice concealer purchase
177,refund,1177,Customer_177,Algeria,Email,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,5,Customer Support,2025-05-26,in_progress,63,requested refund eyeshadow received
178,billing,1178,Customer_178,Nigeria,Phone Call,I was charged twice for my Eyeliner purchase.,Eyeliner,4,Finance Department,2025-08-19,resolved,45,charged twice eyeliner purchase
179,customer_service,1179,Customer_179,Nigeria,Website,i contacted support about my body lotion and never received a helpful response.,Body Lotion,2,Customer Support,2025-04-25,in_progress,79,contacted support body lotion never received helpful response
180,delivery,1180,Customer_180,Ghana,Email,My Lipstick order arrived much later than expected.,Lipstick,4,Delivery Department,2025-05-27,resolved,51,lipstick order arrived much later expected
181,refund,1181,Customer_181,Nigeria,Email,I requested a refund for my Foundation but have not received it.,Foundation,4,Customer Support,2025-05-12,in_progress,64,requested refund foundation received
182,customer_service,1182,Customer_182,Algeria,Website,I contacted support about my Concealer and never received a helpful response.,Concealer,3,Customer Support,2025-05-02,resolved,77,contacted support concealer never received helpful response
183,packaging,1183,Customer_183,Nigeria,Mobile App,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,3,Packaging Department,2025-11-02,awaiting,67,sunscreen arrived damaged packaging disappointed
184,packaging,1184,Customer_184,Nigeria,Website,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,3,Packaging Department,2025-05-04,awaiting,67,concealer arrived damaged packaging disappointed
185,product_quality,1185,Customer_185,Egypt,Email,The Kohl does not perform as advertised.,Kohl,3,Quality Control Department,2025-07-19,resolved,40,kohl perform advertised
186,packaging,1186,Customer_186,Algeria,Email,The Body Lotion arrived with damaged packaging and I am disappointed.,Body Lotion,1,Packaging Department,2025-06-26,in_progress,69,body lotion arrived damaged packaging disappointed
187,billing,1187,Customer_187,Ghana,Email,i was charged twice for my kohl purchase.,Kohl,4,Finance Department,2025-06-30,awaiting,41,charged twice kohl purchase
188,delivery,1188,Customer_188,Tunisia,Mobile App,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-11-20,in_progress,47,kohl order arrived much later expected
189,billing,1189,Customer_189,Ghana,Email,I was charged twice for my Lipstick purchase.,Lipstick,1,Finance Department,2025-04-13,in_progress,45,charged twice lipstick purchase
190,delivery,1190,Customer_190,Morocco,Email,My Eyeliner order arrived much later than expected.,Eyeliner,3,Delivery Department,2025-11-28,in_progress,51,eyeliner order arrived much later expected
191,delivery,1191,Customer_191,Morocco,Mobile App,My Cleanser order arrived much later than expected.,Cleanser,2,Delivery Department,2025-07-24,awaiting,51,cleanser order arrived much later expected
192,product_quality,1192,Customer_192,Morocco,Website,The Body Lotion does not perform as advertised.,Body Lotion,4,Quality Control Department,2025-02-12,awaiting,47,body lotion perform advertised
193,product_quality,1193,Customer_193,Morocco,Email,The Body Lotion does not perform as advertised.,Body Lotion,3,Quality Control Department,2025-02-10,resolved,47,body lotion perform advertised
194,refund,1194,Customer_194,Kenya,Website,I requested a refund for my Eyeliner but have not received it.,Eyeliner,2,Customer Support,2025-08-17,in_progress,62,requested refund eyeliner received
195,billing,1195,Customer_195,Algeria,Email,I was charged twice for my Eyeshadow purchase.,Eyeshadow,4,Finance Department,2025-02-08,awaiting,46,charged twice eyeshadow purchase
196,refund,1196,Customer_196,Nigeria,Phone Call,I requested a refund for my Eyeshadow but have not received it.,Eyeshadow,2,Customer Support,2025-11-08,awaiting,63,requested refund eyeshadow received
197,billing,1197,Customer_197,Morocco,Mobile App,i was charged twice for my cleanser purchase.,Cleanser,4,Finance Department,2025-10-18,in_progress,45,charged twice cleanser purchase
198,refund,1198,Customer_198,Nigeria,Phone Call,I requested a refund for my Kohl but have not received it.,Kohl,3,Customer Support,2025-09-29,resolved,58,requested refund kohl received
199,product_quality,1199,Customer_199,Ghana,Mobile App,The Kohl does not perform as advertised.,Kohl,1,Quality Control Department,2025-09-23,resolved,40,kohl perform advertised
200,customer_service,1200,Customer_200,Egypt,Website,I contacted support about my Lipstick and never received a helpful response.,Lipstick,3,Customer Support,2025-12-22,resolved,76,contacted support lipstick never received helpful response
201,delivery,1201,Customer_201,Kenya,Email,My Foundation order arrived much later than expected.,Foundation,5,Delivery Department,2025-12-16,resolved,53,foundation order arrived much later expected
202,refund,1202,Customer_202,Ghana,Phone Call,I requested a refund for my Lipstick but have not received it.,Lipstick,3,Customer Support,2025-07-05,awaiting,62,requested refund lipstick received
203,delivery,1203,Customer_203,Morocco,Website,My Sunscreen order arrived much later than expected.,Sunscreen,3,Delivery Department,2025-08-28,awaiting,52,sunscreen order arrived much later expected
204,packaging,1204,Customer_204,Kenya,Mobile App,the lipstick arrived with damaged packaging and i am disappointed.,Lipstick,4,Packaging Department,2025-07-29,awaiting,66,lipstick arrived damaged packaging disappointed
205,packaging,1205,Customer_205,Morocco,Phone Call,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,4,Packaging Department,2025-10-10,awaiting,67,eyeshadow arrived damaged packaging disappointed
206,product_quality,1206,Customer_206,Nigeria,Phone Call,The Foundation does not perform as advertised.,Foundation,1,Quality Control Department,2025-06-05,in_progress,46,foundation perform advertised
207,packaging,1207,Customer_207,Algeria,Email,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,5,Packaging Department,2025-05-09,in_progress,67,sunscreen arrived damaged packaging disappointed
208,refund,1208,Customer_208,Nigeria,Phone Call,I requested a refund for my Concealer but have not received it.,Concealer,4,Customer Support,2025-10-31,awaiting,63,requested refund concealer received
209,packaging,1209,Customer_209,Egypt,Email,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,3,Packaging Department,2025-01-15,in_progress,62,kohl arrived damaged packaging disappointed
210,packaging,1210,Customer_210,Egypt,Mobile App,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,2,Packaging Department,2025-11-13,awaiting,62,kohl arrived damaged packaging disappointed
211,packaging,1211,Customer_211,Ghana,Mobile App,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,3,Packaging Department,2025-06-02,resolved,62,kohl arrived damaged packaging disappointed
212,packaging,1212,Customer_212,Morocco,Phone Call,The Cleanser arrived with damaged packaging and I am disappointed.,Cleanser,3,Packaging Department,2025-06-10,awaiting,66,cleanser arrived damaged packaging disappointed
213,delivery,1213,Customer_213,Egypt,Email,My Eyeshadow order arrived much later than expected.,Eyeshadow,3,Delivery Department,2025-06-13,in_progress,52,eyeshadow order arrived much later expected
214,product_quality,1214,Customer_214,Kenya,Mobile App,The Eyeliner does not perform as advertised.,Eyeliner,1,Quality Control Department,2025-05-08,in_progress,44,eyeliner perform advertised
215,billing,1215,Customer_215,Egypt,Mobile App,I was charged twice for my Primer purchase.,Primer,2,Finance Department,2025-09-13,resolved,43,charged twice primer purchase
216,product_quality,1216,Customer_216,Ghana,Website,The Lipstick does not perform as advertised.,Lipstick,5,Quality Control Department,2025-01-25,in_progress,44,lipstick perform advertised
217,delivery,1217,Customer_217,Egypt,Email,My Primer order arrived much later than expected.,Primer,3,Delivery Department,2025-02-25,resolved,49,primer order arrived much later expected
218,packaging,1218,Customer_218,Kenya,Email,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,3,Packaging Department,2025-10-19,awaiting,66,eyeliner arrived damaged packaging disappointed
219,delivery,1219,Customer_219,Egypt,Website,My Concealer order arrived much later than expected.,Concealer,3,Delivery Department,2025-11-16,awaiting,52,concealer order arrived much later expected
220,refund,1220,Customer_220,Morocco,Website,I requested a refund for my Foundation but have not received it.,Foundation,4,Customer Support,2025-03-15,in_progress,64,requested refund foundation received
221,refund,1221,Customer_221,Morocco,Mobile App,I requested a refund for my Body Lotion but have not received it. please help!!!,Body Lotion,2,Customer Support,2025-09-23,resolved,80,requested refund body lotion received please help
222,packaging,1222,Customer_222,Kenya,Website,the concealer arrived with damaged packaging and i am disappointed.,Concealer,3,Packaging Department,2025-10-31,resolved,67,concealer arrived damaged packaging disappointed
223,product_quality,1223,Customer_223,Algeria,Email,The Concealer does not perform as advertised.,Concealer,3,Quality Control Department,2025-07-08,resolved,45,concealer perform advertised
224,refund,1224,Customer_224,Tunisia,Email,I requested a refund for my Body Lotion but have not received it.,Body Lotion,4,Customer Support,2025-11-02,resolved,65,requested refund body lotion received
225,delivery,1225,Customer_225,Tunisia,Email,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-10-26,resolved,47,kohl order arrived much later expected
226,packaging,1226,Customer_226,Algeria,Phone Call,The Kohl arrived with damaged packaging and I am disappointed.,Kohl,3,Packaging Department,2025-01-17,awaiting,62,kohl arrived damaged packaging disappointed
227,customer_service,1227,Customer_227,Kenya,Phone Call,I contacted support about my Lipstick and never received a helpful response.,Lipstick,3,Customer Support,2025-07-30,awaiting,76,contacted support lipstick never received helpful response
228,billing,1228,Customer_228,Ghana,Phone Call,I was charged twice for my Blush purchase.,Blush,1,Finance Department,2025-10-15,resolved,42,charged twice blush purchase
229,customer_service,1229,Customer_229,Egypt,Website,I contacted support about my Blush and never received a helpful response.,Blush,2,Customer Support,2025-10-07,resolved,73,contacted support blush never received helpful response
230,refund,1230,Customer_230,Ghana,Phone Call,I requested a refund for my Kohl but have not received it.,Kohl,4,Customer Support,2025-05-23,awaiting,58,requested refund kohl received
231,delivery,1231,Customer_231,Kenya,Website,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-09-03,resolved,51,eyeliner order arrived much later expected
232,product_quality,1232,Customer_232,Kenya,Website,The Eyeliner does not perform as advertised.,Eyeliner,3,Quality Control Department,2025-03-16,resolved,44,eyeliner perform advertised
233,packaging,1233,Customer_233,Kenya,Phone Call,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,2,Packaging Department,2025-04-14,awaiting,66,lipstick arrived damaged packaging disappointed
234,delivery,1234,Customer_234,Egypt,Phone Call,My Concealer order arrived much later than expected.,Concealer,4,Delivery Department,2025-05-05,in_progress,52,concealer order arrived much later expected
235,refund,1235,Customer_235,Morocco,Mobile App,I requested a refund for my Concealer but have not received it.,Concealer,2,Customer Support,2025-02-21,awaiting,63,requested refund concealer received
236,billing,1236,Customer_236,Tunisia,Mobile App,I was charged twice for my Cleanser purchase.,Cleanser,2,Finance Department,2025-09-02,awaiting,45,charged twice cleanser purchase
237,delivery,1237,Customer_237,Nigeria,Phone Call,My Eyeliner order arrived much later than expected.,Eyeliner,5,Delivery Department,2025-10-01,awaiting,51,eyeliner order arrived much later expected
238,billing,1238,Customer_238,Ghana,Email,I was charged twice for my Cleanser purchase.,Cleanser,5,Finance Department,2025-07-23,resolved,45,charged twice cleanser purchase
239,delivery,1239,Customer_239,Nigeria,Website,My Eyeliner order arrived much later than expected. please help!!!,Eyeliner,3,Delivery Department,2025-05-26,resolved,66,eyeliner order arrived much later expected please help
240,customer_service,1240,Customer_240,Egypt,Mobile App,I contacted support about my Concealer and never received a helpful response.,Concealer,2,Customer Support,2025-05-20,in_progress,77,contacted support concealer never received helpful response
241,billing,1241,Customer_241,Ghana,Email,I was charged twice for my Eyeshadow purchase.,Eyeshadow,2,Finance Department,2025-06-22,resolved,46,charged twice eyeshadow purchase
242,product_quality,1242,Customer_242,Algeria,Mobile App,The Sunscreen does not perform as advertised.,Sunscreen,5,Quality Control Department,2025-09-21,resolved,45,sunscreen perform advertised
243,packaging,1243,Customer_243,Ghana,Email,the kohl arrived with damaged packaging and i am disappointed.,Kohl,3,Packaging Department,2025-05-14,resolved,62,kohl arrived damaged packaging disappointed
244,delivery,1244,Customer_244,Nigeria,Website,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-12-01,resolved,51,eyeliner order arrived much later expected
245,refund,1245,Customer_245,Tunisia,Website,I requested a refund for my Cleanser but have not received it.,Cleanser,2,Customer Support,2025-12-20,in_progress,62,requested refund cleanser received
246,refund,1246,Customer_246,Kenya,Phone Call,I requested a refund for my Eyeliner but have not received it.,Eyeliner,5,Customer Support,2025-08-21,awaiting,62,requested refund eyeliner received
247,customer_service,1247,Customer_247,Egypt,Phone Call,I contacted support about my Eyeshadow and never received a helpful response.,Eyeshadow,3,Customer Support,2025-05-07,awaiting,77,contacted support eyeshadow never received helpful response
248,billing,1248,Customer_248,Egypt,Email,I was charged twice for my Lipstick purchase.,Lipstick,3,Finance Department,2025-02-01,awaiting,45,charged twice lipstick purchase
249,customer_service,1249,Customer_249,Egypt,Mobile App,I contacted support about my Sunscreen and never received a helpful response.,Sunscreen,3,Customer Support,2025-03-01,awaiting,77,contacted support sunscreen never received helpful response
250,delivery,1250,Customer_250,Nigeria,Mobile App,My Primer order arrived much later than expected.,Primer,3,Delivery Department,2025-03-09,awaiting,49,primer order arrived much later expected
251,product_quality,1251,Customer_251,Tunisia,Email,the primer does not perform as advertised.,Primer,4,Quality Control Department,2025-07-22,resolved,42,primer perform advertised
252,billing,1252,Customer_252,Nigeria,Email,I was charged twice for my Sunscreen purchase. please help!!!,Sunscreen,3,Finance Department,2025-02-05,resolved,61,charged twice sunscreen purchase please help
253,packaging,1253,Customer_253,Tunisia,Mobile App,The Body Lotion arrived with damaged packaging and I am disappointed.,Body Lotion,4,Packaging Department,2025-07-11,resolved,69,body lotion arrived damaged packaging disappointed
254,product_quality,1254,Customer_254,Egypt,Phone Call,The Body Lotion does not perform as advertised.,Body Lotion,4,Quality Control Department,2025-12-01,resolved,47,body lotion perform advertised
255,packaging,1255,Customer_255,Algeria,Email,The Concealer arrived with damaged packaging and I am disappointed.,Concealer,5,Packaging Department,2025-01-12,resolved,67,concealer arrived damaged packaging disappointed
256,product_quality,1256,Customer_256,Kenya,Website,The Concealer does not perform as advertised.,Concealer,2,Quality Control Department,2025-03-21,resolved,45,concealer perform advertised
257,delivery,1257,Customer_257,Nigeria,Phone Call,my lipstick order arrived much later than expected.,Lipstick,4,Delivery Department,2025-04-16,in_progress,51,lipstick order arrived much later expected
258,packaging,1258,Customer_258,Ghana,Email,The Cleanser arrived with damaged packaging and I am disappointed.,Cleanser,5,Packaging Department,2025-07-25,resolved,66,cleanser arrived damaged packaging disappointed
259,delivery,1259,Customer_259,Morocco,Phone Call,My Sunscreen order arrived much later than expected.,Sunscreen,2,Delivery Department,2025-10-22,resolved,52,sunscreen order arrived much later expected
260,product_quality,1260,Customer_260,Tunisia,Phone Call,The Kohl does not perform as advertised.,Kohl,5,Quality Control Department,2025-07-31,resolved,40,kohl perform advertised
261,delivery,1261,Customer_261,Tunisia,Mobile App,My Concealer order arrived much later than expected.,Concealer,5,Delivery Department,2025-10-12,resolved,52,concealer order arrived much later expected
262,packaging,1262,Customer_262,Morocco,Mobile App,The Eyeshadow arrived with damaged packaging and I am disappointed.,Eyeshadow,4,Packaging Department,2025-07-29,in_progress,67,eyeshadow arrived damaged packaging disappointed
263,delivery,1263,Customer_263,Morocco,Phone Call,My Foundation order arrived much later than expected.,Foundation,5,Delivery Department,2025-08-26,in_progress,53,foundation order arrived much later expected
264,product_quality,1264,Customer_264,Ghana,Website,The Body Lotion does not perform as advertised.,Body Lotion,2,Quality Control Department,2025-11-28,in_progress,47,body lotion perform advertised
265,customer_service,1265,Customer_265,Morocco,Mobile App,i contacted support about my eyeshadow and never received a helpful response.,Eyeshadow,2,Customer Support,2025-12-11,awaiting,77,contacted support eyeshadow never received helpful response
266,refund,1266,Customer_266,Egypt,Phone Call,I requested a refund for my Lipstick but have not received it.,Lipstick,4,Customer Support,2025-09-03,in_progress,62,requested refund lipstick received
267,customer_service,1267,Customer_267,Ghana,Email,I contacted support about my Eyeshadow and never received a helpful response.,Eyeshadow,2,Customer Support,2025-09-03,in_progress,77,contacted support eyeshadow never received helpful response
268,refund,1268,Customer_268,Morocco,Mobile App,I requested a refund for my Sunscreen but have not received it.,Sunscreen,3,Customer Support,2025-08-27,awaiting,63,requested refund sunscreen received
269,refund,1269,Customer_269,Nigeria,Mobile App,I requested a refund for my Eyeliner but have not received it.,Eyeliner,3,Customer Support,2025-06-13,in_progress,62,requested refund eyeliner received
270,product_quality,1270,Customer_270,Nigeria,Website,the body lotion does not perform as advertised.,Body Lotion,4,Quality Control Department,2025-10-11,awaiting,47,body lotion perform advertised
271,product_quality,1271,Customer_271,Egypt,Phone Call,The Body Lotion does not perform as advertised.,Body Lotion,2,Quality Control Department,2025-09-13,awaiting,47,body lotion perform advertised
272,refund,1272,Customer_272,Tunisia,Mobile App,I requested a refund for my Kohl but have not received it.,Kohl,3,Customer Support,2025-08-24,in_progress,58,requested refund kohl received
273,billing,1273,Customer_273,Egypt,Email,I was charged twice for my Eyeshadow purchase.,Eyeshadow,3,Finance Department,2025-09-26,in_progress,46,charged twice eyeshadow purchase
274,customer_service,1274,Customer_274,Kenya,Phone Call,I contacted support about my Lipstick and never received a helpful response.,Lipstick,4,Customer Support,2025-11-19,in_progress,76,contacted support lipstick never received helpful response
275,packaging,1275,Customer_275,Egypt,Mobile App,the foundation arrived with damaged packaging and i am disappointed.,Foundation,3,Packaging Department,2025-12-04,resolved,68,foundation arrived damaged packaging disappointed
276,packaging,1276,Customer_276,Morocco,Website,The Concealer arrived with damaged packaging and I am disappointed. please help!!!,Concealer,3,Packaging Department,2025-01-09,awaiting,82,concealer arrived damaged packaging disappointed please help
277,billing,1277,Customer_277,Nigeria,Phone Call,I was charged twice for my Kohl purchase.,Kohl,2,Finance Department,2025-05-04,in_progress,41,charged twice kohl purchase
278,refund,1278,Customer_278,Morocco,Mobile App,I requested a refund for my Eyeliner but have not received it.,Eyeliner,3,Customer Support,2025-08-24,awaiting,62,requested refund eyeliner received
279,delivery,1279,Customer_279,Algeria,Email,My Sunscreen order arrived much later than expected.,Sunscreen,2,Delivery Department,2025-02-17,resolved,52,sunscreen order arrived much later expected
280,product_quality,1280,Customer_280,Nigeria,Mobile App,The Concealer does not perform as advertised.,Concealer,4,Quality Control Department,2025-08-11,awaiting,45,concealer perform advertised
281,billing,1281,Customer_281,Nigeria,Phone Call,I was charged twice for my Primer purchase.,Primer,5,Finance Department,2025-04-19,awaiting,43,charged twice primer purchase
282,customer_service,1282,Customer_282,Morocco,Email,I contacted support about my Blush and never received a helpful response.,Blush,4,Customer Support,2025-04-02,resolved,73,contacted support blush never received helpful response
283,packaging,1283,Customer_283,Kenya,Email,The Sunscreen arrived with damaged packaging and I am disappointed.,Sunscreen,4,Packaging Department,2025-06-03,in_progress,67,sunscreen arrived damaged packaging disappointed
284,product_quality,1284,Customer_284,Morocco,Mobile App,The Primer does not perform as advertised.,Primer,5,Quality Control Department,2025-03-13,awaiting,42,primer perform advertised
285,billing,1285,Customer_285,Ghana,Email,I was charged twice for my Concealer purchase.,Concealer,2,Finance Department,2025-06-24,awaiting,46,charged twice concealer purchase
286,billing,1286,Customer_286,Morocco,Mobile App,I was charged twice for my Primer purchase.,Primer,1,Finance Department,2025-09-09,in_progress,43,charged twice primer purchase
287,delivery,1287,Customer_287,Nigeria,Website,My Body Lotion order arrived much later than expected.,Body Lotion,4,Delivery Department,2025-05-07,awaiting,54,body lotion order arrived much later expected
288,packaging,1288,Customer_288,Tunisia,Mobile App,The Eyeliner arrived with damaged packaging and I am disappointed.,Eyeliner,4,Packaging Department,2025-06-12,resolved,66,eyeliner arrived damaged packaging disappointed
289,packaging,1289,Customer_289,Nigeria,Phone Call,The Cleanser arrived with damaged packaging and I am disappointed.,Cleanser,4,Packaging Department,2025-02-14,in_progress,66,cleanser arrived damaged packaging disappointed
290,product_quality,1290,Customer_290,Morocco,Email,The Concealer does not perform as advertised.,Concealer,1,Quality Control Department,2025-11-02,awaiting,45,concealer perform advertised
291,billing,1291,Customer_291,Tunisia,Phone Call,i was charged twice for my body lotion purchase.,Body Lotion,4,Finance Department,2025-10-20,awaiting,48,charged twice body lotion purchase
292,packaging,1292,Customer_292,Ghana,Email,The Body Lotion arrived with damaged packaging and I am disappointed.,Body Lotion,3,Packaging Department,2025-03-27,resolved,69,body lotion arrived damaged packaging disappointed
293,delivery,1293,Customer_293,Ghana,Mobile App,My Eyeliner order arrived much later than expected. please help!!!,Eyeliner,2,Delivery Department,2025-11-01,awaiting,66,eyeliner order arrived much later expected please help
294,delivery,1294,Customer_294,Algeria,Mobile App,my lipstick order arrived much later than expected. please help!!!,Lipstick,3,Delivery Department,2025-06-18,resolved,66,lipstick order arrived much later expected please help
295,delivery,1295,Customer_295,Tunisia,Phone Call,My Kohl order arrived much later than expected.,Kohl,3,Delivery Department,2025-09-03,resolved,47,kohl order arrived much later expected
296,packaging,1296,Customer_296,Kenya,Phone Call,The Body Lotion arrived with damaged packaging and I am disappointed.,Body Lotion,4,Packaging Department,2025-06-16,resolved,69,body lotion arrived damaged packaging disappointed
297,delivery,1297,Customer_297,Egypt,Phone Call,My Body Lotion order arrived much later than expected.,Body Lotion,2,Delivery Department,2025-12-16,awaiting,54,body lotion order arrived much later expected
298,packaging,1298,Customer_298,Algeria,Email,The Blush arrived with damaged packaging and I am disappointed.,Blush,4,Packaging Department,2025-07-29,awaiting,63,blush arrived damaged packaging disappointed
299,product_quality,1299,Customer_299,Kenya,Mobile App,The Kohl does not perform as advertised.,Kohl,2,Quality Control Department,2025-02-07,resolved,40,kohl perform advertised
300,customer_service,1300,Customer_300,Algeria,Mobile App,I contacted support about my Blush and never received a helpful response.,Blush,5,Customer Support,2025-10-06,in_progress,73,contacted support blush never received helpful response
301,billing,1301,Customer_301,Nigeria,Email,I was charged twice for my Eyeshadow purchase.,Eyeshadow,3,Finance Department,2025-05-08,awaiting,46,charged twice eyeshadow purchase
302,refund,1302,Customer_302,Tunisia,Mobile App,I requested a refund for my Foundation but have not received it. please help!!!,Foundation,5,Customer Support,2025-06-19,resolved,79,requested refund foundation received please help
303,packaging,1303,Customer_303,Egypt,Phone Call,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,3,Packaging Department,2025-08-17,resolved,66,lipstick arrived damaged packaging disappointed
304,product_quality,1304,Customer_304,Nigeria,Mobile App,The Kohl does not perform as advertised.,Kohl,3,Quality Control Department,2025-02-23,resolved,40,kohl perform advertised
305,product_quality,1305,Customer_305,Morocco,Website,the lipstick does not perform as advertised.,Lipstick,2,Quality Control Department,2025-08-22,in_progress,44,lipstick perform advertised
306,product_quality,1306,Customer_306,Morocco,Email,The Eyeshadow does not perform as advertised.,Eyeshadow,4,Quality Control Department,2025-06-03,in_progress,45,eyeshadow perform advertised
307,billing,1307,Customer_307,Algeria,Phone Call,i was charged twice for my lipstick purchase.,Lipstick,2,Finance Department,2025-05-05,awaiting,45,charged twice lipstick purchase
308,packaging,1308,Customer_308,Algeria,Mobile App,The Foundation arrived with damaged packaging and I am disappointed.,Foundation,3,Packaging Department,2025-11-19,in_progress,68,foundation arrived damaged packaging disappointed
309,delivery,1309,Customer_309,Ghana,Mobile App,My Kohl order arrived much later than expected. please help!!!,Kohl,4,Delivery Department,2025-10-31,resolved,62,kohl order arrived much later expected please help
310,product_quality,1310,Customer_310,Nigeria,Email,The Sunscreen does not perform as advertised.,Sunscreen,4,Quality Control Department,2025-10-02,in_progress,45,sunscreen perform advertised
311,product_quality,1311,Customer_311,Egypt,Website,The Sunscreen does not perform as advertised.,Sunscreen,5,Quality Control Department,2025-11-02,resolved,45,sunscreen perform advertised
312,refund,1312,Customer_312,Ghana,Website,i requested a refund for my primer but have not received it.,Primer,3,Customer Support,2025-11-11,awaiting,60,requested refund primer received
313,packaging,1313,Customer_313,Morocco,Phone Call,The Foundation arrived with damaged packaging and I am disappointed.,Foundation,2,Packaging Department,2025-09-19,resolved,68,foundation arrived damaged packaging disappointed
314,product_quality,1314,Customer_314,Egypt,Phone Call,The Foundation does not perform as advertised.,Foundation,3,Quality Control Department,2025-10-12,in_progress,46,foundation perform advertised
315,product_quality,1315,Customer_315,Algeria,Website,The Foundation does not perform as advertised.,Foundation,4,Quality Control Department,2025-01-05,resolved,46,foundation perform advertised
316,packaging,1316,Customer_316,Tunisia,Mobile App,The Body Lotion arrived with damaged packaging and I am disappointed.,Body Lotion,3,Packaging Department,2025-08-01,awaiting,69,body lotion arrived damaged packaging disappointed
317,customer_service,1317,Customer_317,Ghana,Website,I contacted support about my Blush and never received a helpful response.,Blush,4,Customer Support,2025-01-17,resolved,73,contacted support blush never received helpful response
318,delivery,1318,Customer_318,Algeria,Mobile App,My Eyeliner order arrived much later than expected.,Eyeliner,4,Delivery Department,2025-10-09,awaiting,51,eyeliner order arrived much later expected
319,packaging,1319,Customer_319,Egypt,Email,The Lipstick arrived with damaged packaging and I am disappointed.,Lipstick,5,Packaging Department,2025-08-14,awaiting,66,lipstick arrived damaged packaging disappointed
320,delivery,1320,Customer_320,Morocco,Email,my body lotion order arrived much later than expected.,Body Lotion,4,Delivery Department,2025-08-19,resolved,54,body lotion order arrived much later expected
321,delivery,1321,Customer_321,Ghana,Phone Call,My Lipstick order arrived much later than expected.,Lipstick,4,Delivery Department,2025-10-29,awaiting,51,lipstick order arrived much later expected
322,delivery,1322,Customer_322,Ghana,Phone Call,My Primer order arrived much later than expected.,Primer,2,Delivery Department,2025-01-31,awaiting,49,primer order arrived much later expected
323,delivery,1323,Customer_323,Morocco,Website,My Eyeliner order arrived much later than expected.,Eyeliner,5,Delivery Department,2025-10-21,resolved,51,eyeliner order arrived much later expected
